nome_arquivo,x_face,y_face,w_face,h_face,texto_extraido,quantidade_palavras,estudantil,validade,unicamp,universidade,estadual,matricula,documento,nacional,estudante,UNE,CPF,RG,data
aug_imagem_314.jpg,315.0,346.0,219.0,219.0,"Pedro Henrique Pires

sradua

Data Nasc.
Matricula",7,0,0,0,0,0,1,0,0,0,0,0,0,1
aug_imagem_471.jpg,315.0,346.0,219.0,219.0,"Vitor Gabriel Rocha

Data Nasc.
Matricula",6,0,0,0,0,0,1,0,0,0,0,0,0,1
aug_imagem_490.jpg,315.0,346.0,219.0,219.0,"Data Nasc.
Matricula",3,0,0,0,0,0,1,0,0,0,0,0,0,1
aug_imagem_301.jpg,315.0,346.0,219.0,219.0,"Bento da Cruz

Data Nasc.
Matricula",6,0,0,0,0,0,1,0,0,0,0,0,0,1
aug_imagem_155.jpg,326.0,404.0,53.0,53.0,"Data Nasc.
Matricula

Cédigo de uso",6,0,0,0,0,0,1,0,0,0,0,0,0,1
aug_imagem_344.jpg,315.0,346.0,219.0,219.0,"Davi Miguel Cunh

Data Nasc.
Matricula",6,0,0,0,0,0,1,0,0,0,0,0,0,1
aug_imagem_392.jpg,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aug_imagem_251.jpg,328.0,424.0,258.0,258.0,"Data Nasc.
Matricula

Cédigo de uso",6,0,0,0,0,0,1,0,0,0,0,0,0,1
aug_imagem_429.jpg,,,,,"osn ap o61poD

BinowyeW
‘oseN B1eQ",6,0,0,0,0,0,0,0,0,0,0,0,0,0
aug_imagem_354.jpg,,,,,"osn ap o61poD

BinowyeW
‘oseN B1eQ

S8WOD ZIN] IABG

Ay",10,0,0,0,0,0,0,0,0,0,0,0,0,0
aug_imagem_141.jpg,341.0,328.0,251.0,251.0,"ae
ne mands =

Se

Sarah Costa

UNICAMP
Mestrado",9,0,0,1,0,0,0,0,0,0,0,0,0,0
aug_imagem_379.jpg,272.0,466.0,301.0,301.0,"Data Nasc.
Matricula",3,0,0,0,0,0,1,0,0,0,0,0,0,1
aug_imagem_30.jpg,326.0,404.0,53.0,53.0,"Amanda Melo

Mestradc

Data Nasc.
Matricula

Cédigo de uso",9,0,0,0,0,0,1,0,0,0,0,0,0,1
aug_imagem_227.jpg,898.0,127.0,25.0,25.0,= ere =,3,0,0,0,0,0,0,0,0,0,0,0,0,0
aug_imagem_447.jpg,315.0,346.0,219.0,219.0,"Clarice Fern

Data Nasc.
Matricula",5,0,0,0,0,0,1,0,0,0,0,0,0,1
aug_imagem_140.jpg,1228.0,568.0,103.0,103.0,"eno wyeW
‘oSeN B1eQ

SY
ddd

Pposjssy\

Kuouyuy",8,0,0,0,0,0,0,0,0,0,0,0,0,0
aug_imagem_341.jpg,326.0,404.0,53.0,53.0,"Giovanna das

Mestradc

Data Nasc.
Matricula

Cédigo de uso",9,0,0,0,0,0,1,0,0,0,0,0,0,1
aug_imagem_469.jpg,1228.0,568.0,103.0,103.0,"eno wyeW
‘oSeN B1eQ
b>} |

dd3

Pposjssy\

Djeysoy Opusig",10,0,0,0,0,0,0,0,0,0,0,0,0,0
aug_imagem_414.jpg,326.0,404.0,53.0,53.0,"Data Nasc.
Matricula

Cédigo de uso",6,0,0,0,0,0,1,0,0,0,0,0,0,1
